Title,Alternative Title,Description,Language,Display Note,Creator,Title Source,Resource Class,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Format,Information,Download,MapServer,FeatureServer,ImageServer,ID,Identifier,Provider,Code,Member Of,Is Part Of,Rights,Accrual Method,Date Accessioned,Access Rights
Minneapolis Police Districts [Minnesota--Minneapolis],Minneapolis Police Districts,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,Minneapolis|Police|PublicSafety,2015-11-20,Continually updated resource,,Minnesota--Minneapolis|Minnesota,"-93.33,44.89,-93.19,45.05",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::minneapolis-police-districts,https://opendata.minneapolismn.gov/api/download/v1/items/714589fbf99d4045bc57bf298be2578e/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Minneapolis_Police_Districts/FeatureServer/0,,714589fbf99d4045bc57bf298be2578e_0,https://hub.arcgis.com/datasets/714589fbf99d4045bc57bf298be2578e,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,http://creativecommons.org/publicdomain/zero/1.0,ArcGIS Hub,2024-05-18,Public
WARDS [Minnesota--Minneapolis] {2012},WARDS 2012,"This is the feature map service for the City of Minneapolis City Council Ward Boundaries that were redistricted and adopted in April of 2012. These boundaries took effect January 1, 2014.",eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,Minneapolis|Mpls|Wards|2014|FeatureService|Boundaries|Boundary,2014-03-05,2012,2012-2012,Minnesota--Minneapolis|Minnesota,"-93.33,44.89,-93.19,45.05",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::wards-2012,https://opendata.minneapolismn.gov/api/download/v1/items/c35a747b6f3948d19912b1eb268f8996/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/WARDS/FeatureServer/0,,c35a747b6f3948d19912b1eb268f8996_0,https://hub.arcgis.com/datasets/c35a747b6f3948d19912b1eb268f8996,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,http://creativecommons.org/publicdomain/zero/1.0,ArcGIS Hub,2024-05-18,Public
Election Precincts [Minnesota--Minneapolis],Election Precincts,"This is the feature map service for the City of Minneapolis Election Precinct Boundaries Adopted March 24, 2022.",eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,Minneapolis|Elections|VotingPrecincts|2022|boundary|boundaries,2022-05-10,Continually updated resource,,Minnesota--Minneapolis|Minnesota,"-93.33,44.89,-93.19,45.05",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::election-precincts,https://opendata.minneapolismn.gov/api/download/v1/items/5ac8d77c68824d2bbf69b252b61adae7/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/msvcElection_Precincts_2022/FeatureServer/0,,5ac8d77c68824d2bbf69b252b61adae7_0,https://hub.arcgis.com/datasets/5ac8d77c68824d2bbf69b252b61adae7,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,http://creativecommons.org/publicdomain/zero/1.0,ArcGIS Hub,2024-05-18,Public
Snow Emergency Jane Tows [Minnesota--Minneapolis] {2022},Snow Emergency Jane Tows 2022,"This is the information about the number and location of tows during this snow emergency. Tow data will be retained for all Snow Emergencies in each snow season, until there is five full seasons of snow emergencies. Disclaimer: There is an expected address error rate of between 8 and 14 percent. Snow Emergency Tows - 2022/2023 Season #2 Jane (12/15/22 thru 12/7/22) ",eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,PublicWorks|Minneapolis|SnowEmergency|Tows|2022,2022-12-21,2022,2022-2022,Minnesota--Minneapolis|Minnesota,"-93.38,44.85,-93.22,45.03",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::snow-emergency-jane-tows-2022,https://opendata.minneapolismn.gov/api/download/v1/items/dc54cb2d354b4502a8c535785ec9c93e/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Snow_Emergency_Jane_Tows_2022/FeatureServer/0,,dc54cb2d354b4502a8c535785ec9c93e_0,https://hub.arcgis.com/datasets/dc54cb2d354b4502a8c535785ec9c93e,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,,ArcGIS Hub,2024-05-18,Public
Police Sectors [Minnesota--Minneapolis],Police Sectors,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,OpenData|Minneapolis|Police|MPD,2018-08-03,Continually updated resource,,Minnesota--Minneapolis|Minnesota,"-93.33,44.89,-93.19,45.05",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::police-sectors,https://opendata.minneapolismn.gov/api/download/v1/items/2be3d5015a78466ebd46cb444881d114/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Police_Sectors/FeatureServer/0,,2be3d5015a78466ebd46cb444881d114_0,https://hub.arcgis.com/datasets/2be3d5015a78466ebd46cb444881d114,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,http://creativecommons.org/publicdomain/zero/1.0,ArcGIS Hub,2024-05-18,Public
City Council Wards [Minnesota--Minneapolis],City Council Wards,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,Minneapolis|CityCouncil|Wards|2022|Boundaries|administrativeboundary|Boundary,2024-01-22,Continually updated resource,,Minnesota--Minneapolis|Minnesota,"-93.33,44.89,-93.19,45.05",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::city-council-wards,https://opendata.minneapolismn.gov/api/download/v1/items/eca44c33fc5744478e285d957f9c5a0d/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/WARD_BOUNDARIES/FeatureServer/0,,eca44c33fc5744478e285d957f9c5a0d_0,https://hub.arcgis.com/datasets/eca44c33fc5744478e285d957f9c5a0d,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,http://creativecommons.org/publicdomain/zero/1.0,ArcGIS Hub,2024-05-18,Public
Minneapolis Park Commissioner Districts [Minnesota--Minneapolis],Minneapolis Park Commissioner Districts,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,Minneapolis|Boundary|Parks|Commissioner|MPRB|opendata,2021-08-11,Continually updated resource,,Minnesota--Minneapolis|Minnesota,"-93.33,44.89,-93.19,45.05",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::minneapolis-park-commissioner-districts,https://opendata.minneapolismn.gov/api/download/v1/items/f146a8db343044a68dc1dfbff06f5605/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Minneapolis_Park_Commissioner_Districts/FeatureServer/0,,f146a8db343044a68dc1dfbff06f5605_0,https://hub.arcgis.com/datasets/f146a8db343044a68dc1dfbff06f5605,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,http://creativecommons.org/publicdomain/zero/1.0,ArcGIS Hub,2024-05-18,Public
Fire Stations [Minnesota--Minneapolis],Fire Stations,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,Minneapolis|FireStations,2018-05-11,Continually updated resource,,Minnesota--Minneapolis|Minnesota,"-93.32,44.9,-93.22,45.04",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::fire-stations,https://opendata.minneapolismn.gov/api/download/v1/items/e697e12884fd4421abaf4a71b513f509/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/MFD_FireStations/FeatureServer/0,,e697e12884fd4421abaf4a71b513f509_0,https://hub.arcgis.com/datasets/e697e12884fd4421abaf4a71b513f509,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,http://creativecommons.org/publicdomain/zero/1.0,ArcGIS Hub,2024-05-18,Public
SBSP Equity Distribution Areas [Minnesota--Minneapolis],SBSP Equity Distribution Areas,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,OpenData|PublicWorks|Scooters|Mobility,2023-03-24,Continually updated resource,,Minnesota--Minneapolis|Minnesota,"-93.32,44.94,-93.23,45.03",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::sbsp-equity-distribution-areas,https://opendata.minneapolismn.gov/api/download/v1/items/dae79ddcc012456db9f1c825375bd7e4/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/SBSP_Operations_and_Geofence_Data/FeatureServer/5,,dae79ddcc012456db9f1c825375bd7e4_5,https://hub.arcgis.com/datasets/dae79ddcc012456db9f1c825375bd7e4,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,,ArcGIS Hub,2024-05-18,Public
SBSP UMNTC Campus Property [Minnesota--Minneapolis],SBSP UMNTC Campus Property,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,OpenData|PublicWorks|Scooters|Mobility,2023-03-24,Continually updated resource,,Minnesota--Minneapolis|Minnesota,"-93.25,44.97,-93.21,44.98",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::sbsp-umntc-campus-property,https://opendata.minneapolismn.gov/api/download/v1/items/dae79ddcc012456db9f1c825375bd7e4/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/SBSP_Operations_and_Geofence_Data/FeatureServer/4,,dae79ddcc012456db9f1c825375bd7e4_4,https://hub.arcgis.com/datasets/dae79ddcc012456db9f1c825375bd7e4,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,,ArcGIS Hub,2024-05-18,Public
SBSP No Riding Zones [Minnesota--Minneapolis],SBSP No Riding Zones,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,OpenData|PublicWorks|Scooters|Mobility,2023-03-24,Continually updated resource,,Minnesota--Minneapolis|Minnesota,"-93.33,44.88,-93.19,45.03",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::sbsp-no-riding-zones,https://opendata.minneapolismn.gov/api/download/v1/items/dae79ddcc012456db9f1c825375bd7e4/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/SBSP_Operations_and_Geofence_Data/FeatureServer/3,,dae79ddcc012456db9f1c825375bd7e4_3,https://hub.arcgis.com/datasets/dae79ddcc012456db9f1c825375bd7e4,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,,ArcGIS Hub,2024-05-18,Public
SBSP No Trip End Zones [Minnesota--Minneapolis],SBSP No Trip End Zones,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,OpenData|PublicWorks|Scooters|Mobility,2023-03-24,Continually updated resource,,Minnesota--Minneapolis|Minnesota,"-93.33,44.89,-93.2,45.05",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::sbsp-no-trip-end-zones,https://opendata.minneapolismn.gov/api/download/v1/items/dae79ddcc012456db9f1c825375bd7e4/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/SBSP_Operations_and_Geofence_Data/FeatureServer/2,,dae79ddcc012456db9f1c825375bd7e4_2,https://hub.arcgis.com/datasets/dae79ddcc012456db9f1c825375bd7e4,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,,ArcGIS Hub,2024-05-18,Public
SBSP Speed Cap Zones [Minnesota--Minneapolis],SBSP Speed Cap Zones,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,OpenData|PublicWorks|Scooters|Mobility,2023-03-24,Continually updated resource,,Minnesota--Minneapolis|Minnesota,"-93.28,44.97,-93.22,44.98",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::sbsp-speed-cap-zones,https://opendata.minneapolismn.gov/api/download/v1/items/dae79ddcc012456db9f1c825375bd7e4/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/SBSP_Operations_and_Geofence_Data/FeatureServer/1,,dae79ddcc012456db9f1c825375bd7e4_1,https://hub.arcgis.com/datasets/dae79ddcc012456db9f1c825375bd7e4,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,,ArcGIS Hub,2024-05-18,Public
SBSP Minneapolis Mobility Hubs [Minnesota--Minneapolis],SBSP Minneapolis Mobility Hubs,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,OpenData|PublicWorks|Scooters|Mobility,2023-03-24,Continually updated resource,,Minnesota--Minneapolis|Minnesota,"-93.31,44.92,-93.22,45.04",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::sbsp-minneapolis-mobility-hubs,https://opendata.minneapolismn.gov/api/download/v1/items/dae79ddcc012456db9f1c825375bd7e4/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/SBSP_Operations_and_Geofence_Data/FeatureServer/0,,dae79ddcc012456db9f1c825375bd7e4_0,https://hub.arcgis.com/datasets/dae79ddcc012456db9f1c825375bd7e4,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,,ArcGIS Hub,2024-05-18,Public
