Label,Field Name,Field Type,URI,Element Set,Group,Obligation,Multivalued,Purpose,Entry Guidelines,Commentary,Controlled Vocabulary,Example Value
Resource Class,gbl_resourceClass_sm,Array,https://opengeometadata.org/ogm-aardvark/#resource-class,GBL,Categories,Required,TRUE,To provide a top level set of categories for classifying the item.,Choose one or more terms from the list of [Resource Class Values](../ogm-aardvark/#resource-class-values) below.,This field is intended to help users sort between significantly different types of resources.,Yes - strict,"[""Datasets""]"
Resource Type,gbl_resourceType_sm,Array,https://opengeometadata.org/ogm-aardvark/#resource-type,GBL,Categories,Suggested,TRUE,To provide a secondary level of categories for classifying the spatial type or structure of a dataset.,Choose one or more terms from the lists of [Library of Congress](../ogm-aardvark/#resource-type-values-loc) or [OpenGeoMetadata](https://opengeometadata.org/ogm-aardvark/#resource-type-values-ogm) Resource Type Values below. Other terms are allowed.,This field combines an established list of terms for scanned maps (Cartographic Genres) and a custom list for geospatial data types. Additional terms are welcome - please submit them to the community for review and inclusion into the official vocabulary.,Yes - not strict,"[""Point data""]"
Rights,dct_rights_sm,Array,https://opengeometadata.org/ogm-aardvark/#rights_1,DCMI,Rights,Suggested,TRUE,"To provide a free text field for rights information, such as usage, access, or copyright.","Enter free text of generic, catch-all access and usage rights.","This field is intended to be flexible to accommodate different types of rights and disclaimers. Users are encouraged to adopt one of the rightsstatements.org statements. This is a plain text field by default, but it can include clickable links if the GeoBlacklight software is customized; see the [GeoBlacklight documentation](https://geoblacklight.org/docs/customization/rendering_html_from_description/) on how to render HTML from a text field.",No,"""All data is copyrighted by China Data Center and/or its suppliers. Derived works that include the source data must be merged with other value-added data in such a way that the derived work cannot be converted back to the original source data format. This data is licensed by UC Berkeley for research, educational, and other non-commercial use by authorized users, which include persons affiliated with UC Berkeley and walk-in users who must access the data in person at the library. [https://rightsstatements.org/page/InC/1.0/?language=en](https://rightsstatements.org/page/InC/1.0/?language=en)."""
Rights Holder,dct_rightsHolder_sm,Array,https://opengeometadata.org/ogm-aardvark/#rights-holder,DCMI,Rights,Optional,TRUE,To clarify which person or organization owns or controls the rights for this version of the item.,"Enter the name of the person or organization. If applicable, the suggested controlled vocabulary is the [Library of Congress Name Authority File](https://id.loc.gov/authorities/names.html).","This field can be used for instances in which an an organization owns or otherwise controls access of a digital copy of an analog resource. This is different from [Provider](../ogm-aardvark/#provider), which refers more to the resource or metadata steward.",No,"""Johns Hopkins University Libraries"""
Source,dct_source_sm,Array,https://opengeometadata.org/ogm-aardvark/#source,DCMI,Relations,Optional,TRUE,To link items that have been derived from another item (e.g. a digitized shapefile from a historical map).,Enter the ID of the item(s) from which the resource was derived.,"This is one of several fields that describe how records relate to each other. This field is intended to describe a derivate relationship where the resource is based wholly on another, rather than being a version of it (see [Is Version Of](../ogm-aardvark/#is-version-of)). ",No,"[""abcd-988763""]"
Spatial Coverage,dct_spatial_sm,Array,https://opengeometadata.org/ogm-aardvark/#spatial-coverage,DCMI,Spatial,Suggested,TRUE,To provide the user with a list of searchable and selectable place names.,Place name text strings should be specified out to the nation level. It is typical for the place name to represent the largest extent the data layer represents. Our recommended thesaurus is [GeoNames](https://www.geonames.org/).,It is recommended to have at least one place name for each layer that corresponds to the logical extent of the area of that layer.,No,"[""Philadelphia, Pennsylvania, United States""]"
Subject,dct_subject_sm,Array,https://opengeometadata.org/ogm-aardvark/#subject,DCMI,Categories,Optional,TRUE,To provide an all-purpose field for subjects.,"Any value is allowed, but controlled vocabularies are encouraged.","Institutions may rely on existing vocabularies specific to a field or project, or they may choose to develop their own set of controlled vocabularies.",No,"[""Elections"", ""Voting""]"
Suppressed,gbl_suppressed_b,Boolean or string,https://opengeometadata.org/ogm-aardvark/#suppressed,GBL,Admin,Optional,FALSE,"To hide items from users in the search results. If set to ""true"", the record will not appear in search results. It is still accessible from the data relations widgets and via direct URL.",Only one of two values are allowed: true or false.,"This field is useful for multipart items with identical metadata, such as pages in an atlas or series.",Yes - strict,"true or ""true"""
Temporal Coverage,dct_temporal_sm,Array,https://opengeometadata.org/ogm-aardvark/#temporal-coverage,DCMI,Temporal,Suggested,TRUE,To provide the user with a free text description of the time period or ranges of what is depicted in the resource.,This is a text string and can indicate uncertainty.,"Since this field is multi-valued, multiple strings can be used to indicate the time period the resource depicts, when the data was collected, and/or when the resources was created.",No,"[""1980-1995"", ""Late 20th century""]"
Theme,dcat_theme_sm,Array,https://opengeometadata.org/ogm-aardvark/#theme,DCAT,Categories,Optional,TRUE,To provide a dedicated field that is restricted to terms based on ISO Topic Categories.,Insert one or more of the values from the list of [Theme Values](../ogm-aardvark/#theme-values) below.,"Although ISO Topic categories are well established and widely used, the spellings of these terms vary across domains and disciplines. The Aardvark schema uses shortened terms for better readability, and adds three new values ""Events"", ""Imagery"", and ""Land Cover"" (the latter two split from imageryBaseMapsEarthCover).",Yes - strict,"[""Boundaries"", ""Land Cover""]"
Title,dct_title_s,String,https://opengeometadata.org/ogm-aardvark/#title,DCMI,Descriptive,Required,FALSE,To provide the user with the name of the resource.,Titles should include place names and dates when available.,"The title is the most prominent metadata field that users see when browsing or scanning search results. Since many datasets are created with ambiguous or non-unique titles, it may be worth the effort to improve or enhance them. The ideal sequence of a title is something akin to ""Topic of Layer: Place, Year."" Putting the year at the end of a title produces better search results, since titles are left-anchored.",No,"""Address Points: Ann Arbor, Michigan, 2010"""
WxS Identifier,gbl_wxsIdentifier_s,String,https://opengeometadata.org/ogm-aardvark/#wxs-identifier,GBL,Links,Conditionally required,FALSE,"To identify the layer or store for a WFS, WMS, or WCS web service so the application can construct the full web service link.","Only the layer name is added here. The base service endpoint URLs (e.g. ""https://maps-public.geo.nyu.edu/geoserver/sdr/wms"") are added to the [References](../ogm-aardvark/#references) field.",This value is only used when a WxS service is listed in the [References](../ogm-aardvark/#references) field. The WxS Identifer is used to point to specific layers within an OGC geospatial web service. This field is not used for ArcGIS Rest Services.,No,"""druid:vr593vj7147"""
